"Temps","Destinació principal","País de residència",Mètriques,Valors,estatus,Dada provisional,
"11/2019","Catalunya","Rússia","Turistes (milers)","38.6","",""
"11/2019","Catalunya","Suïssa","Turistes (milers)","13.7","",""
"11/2019","Catalunya","Resta d'Europa","Turistes (milers)","137.7","",""
"11/2019","Catalunya","Estats Units","Turistes (milers)","94.9","",""
"11/2019","Catalunya","Resta d'Amèrica","Turistes (milers)","69.7","",""
"11/2019","Catalunya","Resta del món","Turistes (milers)","141","",""
"11/2019","Catalunya","Total","Turistes (milers)","1047.2","",""
"10/2019","Catalunya","Alemanya","Turistes (milers)","126.7","",""
"10/2019","Catalunya","Bèlgica","Turistes (milers)","26.3","",""
"10/2019","Catalunya","França","Turistes (milers)","312.5","",""
"10/2019","Catalunya","Irlanda","Turistes (milers)","26","",""
"10/2019","Catalunya","Itàlia","Turistes (milers)","65.8","",""
"10/2019","Catalunya","Països Baixos","Turistes (milers)","58.8","",""
"10/2019","Catalunya","Països nòrdics","Turistes (milers)","53.2","",""
"10/2019","Catalunya","Portugal","Turistes (milers)","14.6","(*)",""
"10/2019","Catalunya","Regne Unit","Turistes (milers)","172.6","",""
"10/2019","Catalunya","Rússia","Turistes (milers)","69.7","",""
"10/2019","Catalunya","Suïssa","Turistes (milers)","26.4","",""
"10/2019","Catalunya","Resta d'Europa","Turistes (milers)","205.1","",""
"10/2019","Catalunya","Estats Units","Turistes (milers)","159.8","",""
"10/2019","Catalunya","Resta d'Amèrica","Turistes (milers)","115.3","",""
"10/2019","Catalunya","Resta del món","Turistes (milers)","243.5","",""
"10/2019","Catalunya","Total","Turistes (milers)","1676.4","",""
"09/2019","Catalunya","Alemanya","Turistes (milers)","162.8","",""
"09/2019","Catalunya","Bèlgica","Turistes (milers)","38.7","",""
"09/2019","Catalunya","França","Turistes (milers)","345.2","",""
"09/2019","Catalunya","Irlanda","Turistes (milers)","36.9","",""
"09/2019","Catalunya","Itàlia","Turistes (milers)","103.3","",""
"09/2019","Catalunya","Països Baixos","Turistes (milers)","73.8","",""
"09/2019","Catalunya","Països nòrdics","Turistes (milers)","58.7","",""
"09/2019","Catalunya","Portugal","Turistes (milers)","27.2","",""
"09/2019","Catalunya","Regne Unit","Turistes (milers)","269.6","",""
"09/2019","Catalunya","Rússia","Turistes (milers)","103.2","",""
